ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
84.9,71.38,79.05,0.852,0.848,130,stackoverflow,ligd,0.25,0.1,1.0,0
84.6,70.79,78.85,0.852,0.844,131,stackoverflow,ligd,0.25,0.1,1.0,0
84.4,70.54,79.01,0.848,0.8426666666666667,132,stackoverflow,ligd,0.25,0.1,1.0,0
85.2,71.86,79.72,0.864,0.848,133,stackoverflow,ligd,0.25,0.1,1.0,0
84.9,71.32,79.05,0.856,0.8466666666666667,134,stackoverflow,ligd,0.25,0.1,1.0,0
85.3,71.93,79.76,0.864,0.8493333333333334,135,stackoverflow,ligd,0.25,0.1,1.0,0
84.7,71.03,79.01,0.864,0.8413333333333334,136,stackoverflow,ligd,0.25,0.1,1.0,0
85.0,71.52,79.1,0.856,0.848,137,stackoverflow,ligd,0.25,0.1,1.0,0
85.2,71.84,79.53,0.864,0.848,138,stackoverflow,ligd,0.25,0.1,1.0,0
84.9,71.45,79.26,0.864,0.844,139,stackoverflow,ligd,0.25,0.1,1.0,0
85.0,71.53,79.21,0.868,0.844,140,stackoverflow,ligd,0.25,0.1,1.0,0
84.6,70.87,78.86,0.864,0.84,141,stackoverflow,ligd,0.25,0.1,1.0,0
85.0,71.48,79.2,0.864,0.8453333333333334,142,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.84,79.52,0.872,0.844,143,stackoverflow,ligd,0.25,0.1,1.0,0
84.7,70.93,78.74,0.86,0.8426666666666667,144,stackoverflow,ligd,0.25,0.1,1.0,0
84.9,71.39,79.08,0.856,0.8466666666666667,145,stackoverflow,ligd,0.25,0.1,1.0,0
84.8,71.21,78.91,0.864,0.8426666666666667,146,stackoverflow,ligd,0.25,0.1,1.0,0
84.7,71.12,79.04,0.86,0.8426666666666667,147,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.72,79.07,0.86,0.848,148,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.66,79.04,0.856,0.8493333333333334,149,stackoverflow,ligd,0.25,0.1,1.0,0
