ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
83.12,71.88,87.21,0.8236842105263158,0.8336206896551724,139,banking,lrap,0.25,0.1,1.0,0
82.34,71.74,87.15,0.8263157894736842,0.8224137931034483,140,banking,lrap,0.25,0.1,1.0,0
81.75,70.47,86.8,0.7894736842105263,0.8267241379310345,141,banking,lrap,0.25,0.1,1.0,0
82.73,71.66,87.14,0.843421052631579,0.8219827586206897,142,banking,lrap,0.25,0.1,1.0,0
83.44,71.95,87.09,0.8289473684210527,0.8362068965517241,143,banking,lrap,0.25,0.1,1.0,0
82.89,72.01,87.13,0.8618421052631579,0.8181034482758621,144,banking,lrap,0.25,0.1,1.0,0
82.4,71.27,86.88,0.8421052631578947,0.8181034482758621,145,banking,lrap,0.25,0.1,1.0,0
83.6,71.87,87.01,0.868421052631579,0.8254310344827587,146,banking,lrap,0.25,0.1,1.0,0
83.73,72.05,87.13,0.8736842105263158,0.8254310344827587,147,banking,lrap,0.25,0.1,1.0,0
82.73,71.74,86.89,0.868421052631579,0.8137931034482758,148,banking,lrap,0.25,0.1,1.0,0
82.5,72.04,87.32,0.8289473684210527,0.8237068965517241,149,banking,lrap,0.25,0.1,1.0,0
